proposition12,category,c1,oc1,a1,oa1,c2,oc2,a2,oa2,rel
Take Olympic games which is a form of competition for instance it is hard to imagine how an athlete could win the game without the training of his or her coach and the help of other professional staffs such as the people who take care of his diet and those who are in charge of the medical care +++$+++ All of these skills help them to get on well with other people and will benefit them for the whole life,none,Olympic games competition,hard to imagine without,win training coach professional staffs,take care,skills,help,to get on well with other people  ,will benefit,yes
competition makes the society more effective +++$+++ What we acquired from team work is not only how to achieve the same goal with others but more importantly how to get along with others,none,competition,makes,society,more effective,team work,acquired to achieve more importantly,goal get along with others,none,yes
In order to survive in the competition companies continue to improve their products and service and as a result the whole society prospers +++$+++ During the process of cooperation children can learn about how to listen to opinions of others how to communicate with others how to think comprehensively and even how to compromise with other team members when conflicts occurred,none,competition companies,survive  continue to improve,products and service,prospers,process of cooperation children,can learn, listen to opinions of others  communicate  think comprehensively compromise  team members  conflicts ,none,yes
During the process of cooperation children can learn about how to listen to opinions of others how to communicate with others how to think comprehensively and even how to compromise with other team members when conflicts occurred +++$+++ competition can effectively promote the development of economy,none,process of cooperation children,can learn, listen to opinions of others  communicate  think comprehensively compromise  team members  conflicts ,none,competition,can effectively promote,economy,development,yes
What we acquired from team work is not only how to achieve the same goal with others but more importantly how to get along with others +++$+++ when we consider about the question that how to win the game we always find that we need the cooperation,none,team work,acquired to achieve more importantly,goal get along with others,none,win the game,need,cooperation,none,yes
In order to survive in the competition companies continue to improve their products and service and as a result the whole society prospers +++$+++ through cooperation children can learn about interpersonal skills which are significant in the future life of all students,none,competition companies,survive  continue to improve,products and service,prospers,cooperation children,can learn,interpersonal skills, are significant,yes
During the process of cooperation children can learn about how to listen to opinions of others how to communicate with others how to think comprehensively and even how to compromise with other team members when conflicts occurred +++$+++ All of these skills help them to get on well with other people and will benefit them for the whole life,none,process of cooperation children,can learn, listen to opinions of others  communicate  think comprehensively compromise  team members  conflicts ,none,skills,help,to get on well with other people  ,will benefit,yes
During the process of cooperation children can learn about how to listen to opinions of others how to communicate with others how to think comprehensively and even how to compromise with other team members when conflicts occurred +++$+++ Take Olympic games which is a form of competition for instance it is hard to imagine how an athlete could win the game without the training of his or her coach and the help of other professional staffs such as the people who take care of his diet and those who are in charge of the medical care,none,process of cooperation children,can learn, listen to opinions of others  communicate  think comprehensively compromise  team members  conflicts ,none,Olympic games competition,hard to imagine without,win training coach professional staffs,take care,yes
sustaining the cultural values of immigrants is paramount essential +++$+++ maintaining one’s cultural identity is a key important rule to help individuals emerge in the new multicultural environments,supports,sustaining  cultural values  immigrants,is paramount essential,none,none,maintaining one’s cultural identity,is a key important,multicultural environments,emerge,no
they are able to sustain their cultural identities +++$+++ they should follow the local customs in order to integrate into their adopted countries’ cultures,attacks,they,are able,sustain  cultural identities,none,they,should follow, local customs adopted countries’ cultures,integrate,no
sustaining the cultural values of immigrants is paramount essential +++$+++ Take Australia for example immigrants from varieties of nations have a day called multicultural day where people from each country prepare their food and traditional activities for displaying in the public venues,supports,sustaining  cultural values  immigrants,is paramount essential,none,none,Australia for example immigrants nations,none, multicultural day  people  country food traditional activities  public venues,none,no
sustaining the cultural values of immigrants is paramount essential +++$+++ Many Australians come this day to enjoy the shows learn about the cultures and admire the diverse values,supports,sustaining  cultural values  immigrants,is paramount essential,none,none,Australians day,enjoy,shows learn cultures admire diverse values,none,no
they are able to sustain their cultural identities +++$+++ it is crucial to keep one’s identity,supports,they,are able,sustain  cultural identities,none,it,is crucial to keep,one’s identity,none,no
sustaining the cultural values of immigrants is paramount essential +++$+++ These feedbacks in turn help raise one’s pride of their cultures and help people understand each other more,supports,sustaining  cultural values  immigrants,is paramount essential,none,none,feedbacks,help raise understand more,one’s pride cultures  people ,none,no
they are able to sustain their cultural identities +++$+++ sustaining the cultural values of immigrants is paramount essential,supports,they,are able,sustain  cultural identities,none,sustaining  cultural values  immigrants,is paramount essential,none,none,no
it is crucial to keep one’s identity +++$+++ they need a connection back to their country as well as teach their children their value of origin,supports,it,is crucial to keep,one’s identity,none,they,need a connection,country teach  children value of origin,none,no
it is crucial to keep one’s identity +++$+++ Fail to create this familiarity makes them felt isolated in the extreme can lead to social disorder like autism,supports,it,is crucial to keep,one’s identity,none,familiarity,Fail to create,isolated social disorder  autism,extreme can lead to ,no
it is crucial to keep one’s identity +++$+++ children immigrated to a new country will face social troubles in school with new friends,supports,it,is crucial to keep,one’s identity,none,children immigrated to a new country, will face, social troubles in school  new friends,none,no
it is crucial to keep one’s identity +++$+++ In this new environment parent should find friends coming from their same country so that they can socialize in a very familiar manner as feeling being home,supports,it,is crucial to keep,one’s identity,none,new environment parent,should find  ,friends coming from their same country socialize,none,no
keeping the cultural traditions in the destination countries is tremendous important +++$+++ they need a connection back to their country as well as teach their children their value of origin,supports,keeping the cultural traditions in the destination countries,is tremendous important,none,none,they,need a connection,country teach  children value of origin familiar manner  feeling being home,none,no
they are able to sustain their cultural identities +++$+++ sustaining the traditions will make the immigrated people keep their cultural identity and give them confident among the many culture society,supports,they,are able,sustain  cultural identities,none,sustaining the traditions,keep give,immigrated people cultural identity confident  culture society,none,no
they are able to sustain their cultural identities +++$+++ keeping the cultural traditions in the destination countries is tremendous important,supports,they,are able,sustain  cultural identities,none,keeping the cultural traditions in the destination countries,is tremendous important,none,none,no
keeping the cultural traditions in the destination countries is tremendous important +++$+++ In this new environment parent should find friends coming from their same country so that they can socialize in a very familiar manner as feeling being home,supports,keeping the cultural traditions in the destination countries,is tremendous important,none,none,new environment parent,should find  ,friends coming from their same country socialize,none,no
keeping the cultural traditions in the destination countries is tremendous important +++$+++ Fail to create this familiarity makes them felt isolated in the extreme can lead to social disorder like autism,supports,keeping the cultural traditions in the destination countries,is tremendous important,none,none,familiarity,Fail to create,isolated social disorder  autism,extreme can lead to ,no
These feedbacks in turn help raise one’s pride of their cultures and help people understand each other more +++$+++ Fail to create this familiarity makes them felt isolated in the extreme can lead to social disorder like autism,none,feedbacks,help raise understand more,one’s pride cultures  people ,none,familiarity,Fail to create,isolated social disorder  autism,extreme can lead to ,yes
maintaining one’s cultural identity is a key important rule to help individuals emerge in the new multicultural environments +++$+++ it is crucial to keep one’s identity,none,maintaining one’s cultural identity,is a key important,multicultural environments,emerge,it,is crucial to keep,one’s identity,none,yes
maintaining one’s cultural identity is a key important rule to help individuals emerge in the new multicultural environments +++$+++ Take Australia for example immigrants from varieties of nations have a day called multicultural day where people from each country prepare their food and traditional activities for displaying in the public venues,none,maintaining one’s cultural identity,is a key important,multicultural environments,emerge,Australia for example immigrants nations,none, multicultural day  people  country food traditional activities  public venues,none,yes
Many Australians come this day to enjoy the shows learn about the cultures and admire the diverse values +++$+++ maintaining one’s cultural identity is a key important rule to help individuals emerge in the new multicultural environments,none,Australians day,enjoy,shows learn cultures admire diverse values,none,maintaining one’s cultural identity,is a key important,multicultural environments,emerge,yes
sustaining the cultural values of immigrants is paramount essential +++$+++ Fail to create this familiarity makes them felt isolated in the extreme can lead to social disorder like autism,none,sustaining  cultural values  immigrants,is paramount essential,none,none,familiarity,Fail to create,isolated social disorder  autism,extreme can lead to ,yes
Fail to create this familiarity makes them felt isolated in the extreme can lead to social disorder like autism +++$+++ they are able to sustain their cultural identities,none,familiarity,Fail to create,isolated social disorder  autism,extreme can lead to ,they,are able,sustain  cultural identities,none,yes
keeping the cultural traditions in the destination countries is tremendous important +++$+++ Take Australia for example immigrants from varieties of nations have a day called multicultural day where people from each country prepare their food and traditional activities for displaying in the public venues,none,keeping the cultural traditions in the destination countries,is tremendous important,none,none,Australia for example immigrants nations,none, multicultural day  people  country food traditional activities  public venues,none,yes
Fail to create this familiarity makes them felt isolated in the extreme can lead to social disorder like autism +++$+++ These feedbacks in turn help raise one’s pride of their cultures and help people understand each other more,none,familiarity,Fail to create,isolated social disorder  autism,extreme can lead to ,feedbacks,help raise understand more,one’s pride cultures  people ,none,yes
Many Australians come this day to enjoy the shows learn about the cultures and admire the diverse values +++$+++ keeping the cultural traditions in the destination countries is tremendous important,none,Australians day,enjoy,shows learn cultures admire diverse values,none,keeping the cultural traditions in the destination countries,is tremendous important,none,none,yes
Take Australia for example immigrants from varieties of nations have a day called multicultural day where people from each country prepare their food and traditional activities for displaying in the public venues +++$+++ they are able to sustain their cultural identities,none,Australia for example immigrants nations,none, multicultural day  people  country food traditional activities  public venues,none,they,are able,sustain  cultural identities,none,yes
tourism has clearly improved lives in the tourist country +++$+++ international tourism promotes many aspects of the destination country’s economy in order to serve various demands of tourists,supports,tourism,has clearly improved,lives  tourist country,none,international tourism,promotes, destination country’s economy demands  tourists,to serve ,no
it has contributed to the economic development as well as preserved the culture and environment of the tourist destinations +++$+++ this international tourism has negative effects on the destination countries,attacks,it,has contributed  preserved,economic development  culture  environment tourist destinations,none,international tourism, has negative effects,destination countries,none,no
it has contributed to the economic development as well as preserved the culture and environment of the tourist destinations +++$+++ tourism has survived many non-tangible cultural values and beauty scenes,supports,it,has contributed  preserved,economic development  culture  environment tourist destinations,none,tourism ,has survived,non-tangible cultural values and beauty scenes,none,no
international tourism promotes many aspects of the destination country’s economy in order to serve various demands of tourists +++$+++ Take Cambodia for example a large number of visitors coming to visit the Angkowat ancient temple need services like restaurants hotels souvenir shops and other stores,supports,international tourism,promotes, destination country’s economy demands  tourists,to serve ,Cambodia visitors Angkowat ancient temple,need,services  restaurants hotels souvenir shops stores,none,no
it has contributed to the economic development as well as preserved the culture and environment of the tourist destinations +++$+++ through tourism industry many cultural values have been preserved and natural environments have been protected,supports,it,has contributed  preserved,economic development  culture  environment tourist destinations,none,tourism industry,have been preserved protected,cultural values natural environments ,none,no
international tourism promotes many aspects of the destination country’s economy in order to serve various demands of tourists +++$+++ These demands trigger related business in the surrounding settings which in turn create many jobs for local people improve infrastructure and living standard,supports,international tourism,promotes, destination country’s economy demands  tourists,to serve ,These demands,trigger,business many jobs local people  infrastructure  living standard, create improve,no
it has contributed to the economic development as well as preserved the culture and environment of the tourist destinations +++$+++ tourism has clearly improved lives in the tourist country,supports,it,has contributed  preserved,economic development  culture  environment tourist destinations,none,none,has clearly improved,lives  tourist country,none,no
tourism has survived many non-tangible cultural values and beauty scenes +++$+++ in Vietnam many cultural costumes and natural scenes namely ‘Trong Dong’ drum performance and ‘Ha Long’ bay are being encouraged to preserve and funded by the tourism ministry,supports,tourism ,has survived,non-tangible cultural values and beauty scenes,none,Vietnam  cultural costumes  natural scenes namely ‘Trong Dong’ drum performance  ‘Ha Long’ bay,are being encouraged,preserve  funded  tourism ministry,none,no
through tourism industry many cultural values have been preserved and natural environments have been protected +++$+++ in Vietnam many cultural costumes and natural scenes namely ‘Trong Dong’ drum performance and ‘Ha Long’ bay are being encouraged to preserve and funded by the tourism ministry,supports,tourism industry,have been preserved protected,cultural values natural environments ,none,Vietnam  cultural costumes  natural scenes namely ‘Trong Dong’ drum performance  ‘Ha Long’ bay,are being encouraged,preserve  funded  tourism ministry,none,no
through tourism industry many cultural values have been preserved and natural environments have been protected +++$+++ Without this support and profit from tourism many traditional cultures would disappear due to its low income works,supports,tourism industry,have been preserved protected,cultural values natural environments ,none,support and profit from tourism,disappear,traditional cultures,none,no
tourism has survived many non-tangible cultural values and beauty scenes +++$+++ Without this support and profit from tourism many traditional cultures would disappear due to its low income works,supports,tourism ,has survived,non-tangible cultural values and beauty scenes,none,support and profit from tourism,disappear,traditional cultures,none,no
it has contributed to the economic development as well as preserved the culture and environment of the tourist destinations +++$+++ international tourism has both triggered economic development and maintained cultural and environment values of the tourist countries,supports,it,has contributed  preserved,economic development  culture  environment tourist destinations,none,international tourism,triggered maintained, economic development  cultural  environment values tourist countries,none,no
Take Cambodia for example a large number of visitors coming to visit the Angkowat ancient temple need services like restaurants hotels souvenir shops and other stores +++$+++ this international tourism has negative effects on the destination countries,none,Cambodia visitors Angkowat ancient temple,need,services  restaurants hotels souvenir shops stores,none,international tourism, has negative effects,destination countries,none,yes
These demands trigger related business in the surrounding settings which in turn create many jobs for local people improve infrastructure and living standard +++$+++ through tourism industry many cultural values have been preserved and natural environments have been protected,none,These demands,trigger,business many jobs local people  infrastructure  living standard, create improve,tourism industry,have been preserved protected,cultural values natural environments ,none,yes
international tourism has both triggered economic development and maintained cultural and environment values of the tourist countries +++$+++ tourism has clearly improved lives in the tourist country,none,international tourism,triggered maintained, economic development  cultural  environment values tourist countries,none,tourism,has clearly improved,lives  tourist country,none,yes
it has contributed to the economic development as well as preserved the culture and environment of the tourist destinations +++$+++ Take Cambodia for example a large number of visitors coming to visit the Angkowat ancient temple need services like restaurants hotels souvenir shops and other stores,none,it,has contributed  preserved,economic development  culture  environment tourist destinations,none,Cambodia visitors Angkowat ancient temple,need,services  restaurants hotels souvenir shops stores,none,yes
international tourism has both triggered economic development and maintained cultural and environment values of the tourist countries +++$+++ These demands trigger related business in the surrounding settings which in turn create many jobs for local people improve infrastructure and living standard,none,international tourism,triggered maintained, economic development  cultural  environment values tourist countries,none,These demands,trigger,business many jobs local people  infrastructure  living standard, create improve,yes
the authorities should adequately support these sustainable developments +++$+++ tourism has clearly improved lives in the tourist country,none,authorities,should adequately support,sustainable developments,none,tourism,has clearly improved,lives  tourist country,none,yes
international tourism promotes many aspects of the destination country’s economy in order to serve various demands of tourists +++$+++ in Vietnam many cultural costumes and natural scenes namely ‘Trong Dong’ drum performance and ‘Ha Long’ bay are being encouraged to preserve and funded by the tourism ministry,none,international tourism,promotes, destination country’s economy demands  tourists,to serve ,Vietnam  cultural costumes  natural scenes namely ‘Trong Dong’ drum performance  ‘Ha Long’ bay,are being encouraged,preserve  funded  tourism ministry,none,yes
tourism has survived many non-tangible cultural values and beauty scenes +++$+++ this international tourism has negative effects on the destination countries,none,tourism ,has survived,non-tangible cultural values and beauty scenes,none,international tourism, has negative effects,destination countries,none,yes
Without this support and profit from tourism many traditional cultures would disappear due to its low income works +++$+++ the authorities should adequately support these sustainable developments,none,support and profit from tourism,disappear,traditional cultures,none,authorities,should adequately support,sustainable developments,none,yes
international tourism can create negative impacts on the destination countries +++$+++ Take Thailand for example in the Vietnam War many American soldiers came to Thailand for a break and involved in sexual and drug activities these huge demands caused many local businesses opened and expanded even illegally involved in under-age prostitutes to maximise their profits,supports,international tourism,can create negative,destination countries,none,Thailand  Vietnam War many American soldiers break  ,involved,sexual drug activities local businesses  under-age prostitutes ,huge demands caused opened  expanded,no
this industry has affected the cultural attributes and damaged the natural environment of the tourist destinations +++$+++ tourism increasingly create harms to the natural habitats of the destination appeals,supports,this industry,has affected  damaged,cultural attributes  natural environment tourist destinations,none,tourism,increasingly create harms,natural habitats destination appeals,none,no
this industry has affected the cultural attributes and damaged the natural environment of the tourist destinations +++$+++ tourism has threatened the nature environments,supports,this industry,has affected  damaged,cultural attributes  natural environment tourist destinations,none,tourism,has threatened,nature environments,none,no
Take Thailand for example in the Vietnam War many American soldiers came to Thailand for a break and involved in sexual and drug activities these huge demands caused many local businesses opened and expanded even illegally involved in under-age prostitutes to maximise their profits +++$+++ This was due to the lack of adequate controls by authorities and lead to a bad image of Thailand tourism,supports,Thailand  Vietnam War many American soldiers break  ,involved,sexual drug activities local businesses  under-age prostitutes ,huge demands caused opened  expanded,This,due to the lack of,controls authorities image  Thailand tourism, lead to a bad,no
this industry has affected the cultural attributes and damaged the natural environment of the tourist destinations +++$+++ tourists from different cultures will probably cause changes to the cultural identity of the tourist destinations,supports,this industry,has affected  damaged,cultural attributes  natural environment tourist destinations,none,tourists from different cultures,probably cause changes, cultural identity tourist destinations,none,no
this industry has affected the cultural attributes and damaged the natural environment of the tourist destinations +++$+++ international tourism can create negative impacts on the destination countries,supports,this industry,has affected  damaged,cultural attributes  natural environment tourist destinations,none,international tourism,can create negative,destination countries,none,no
tourists from different cultures will probably cause changes to the cultural identity of the tourist destinations +++$+++ Take Thailand for example in the Vietnam War many American soldiers came to Thailand for a break and involved in sexual and drug activities these huge demands caused many local businesses opened and expanded even illegally involved in under-age prostitutes to maximise their profits,supports,tourists from different cultures,will probably cause changes,cultural identity  tourist destinations,none,Thailand  Vietnam War many American soldiers break  ,involved,sexual drug activities local businesses  under-age prostitutes ,huge demands caused opened  expanded,no
tourism increasingly create harms to the natural habitats of the destination appeals +++$+++ many marine lives have been endangered in the extremes part of the reef become uninhabitable for these marine species,supports,tourism,increasingly create harms,natural habitats destination appeals,none,marine lives,have been endangered become uninhabitable ,reef  marine species,none,no
tourism has threatened the nature environments +++$+++ many marine lives have been endangered in the extremes part of the reef become uninhabitable for these marine species,supports,tourism,has threatened,nature environments,none,marine lives,have been endangered become uninhabitable ,reef  marine species,none,no
many marine lives have been endangered in the extremes part of the reef become uninhabitable for these marine species +++$+++ As the Australia’s Great Barrier Reef has shown the billion visitors per annum has generated immense destruction to this nature wonder namely breaking the corals caused by walking or throwing boat’s anchors dropping fuel and other sorts of pollutions,supports,marine lives,have been endangered become uninhabitable ,reef  marine species,none,Australia’s Great Barrier Reef ,shown generated immense destruction  breaking,billion visitors per annum,nature wonder  corals  walking or throwing boat’s anchors dropping fuel pollutions,no
this industry has affected the cultural attributes and damaged the natural environment of the tourist destinations +++$+++ tourism has created threatening pressure on both the sociocultural and natural environments,supports,this industry,has affected  damaged,cultural attributes  natural environment tourist destinations,none,none,none,none,none,no
tourism increasingly create harms to the natural habitats of the destination appeals +++$+++ As the Australia’s Great Barrier Reef has shown the billion visitors per annum has generated immense destruction to this nature wonder namely breaking the corals caused by walking or throwing boat’s anchors dropping fuel and other sorts of pollutions,none,tourism,increasingly create harms,natural habitats destination appeals,none,Australia’s Great Barrier Reef ,shown generated immense destruction  breaking,billion visitors per annum,nature wonder  corals  walking or throwing boat’s anchors dropping fuel pollutions,yes
tourism has threatened the nature environments +++$+++ As the Australia’s Great Barrier Reef has shown the billion visitors per annum has generated immense destruction to this nature wonder namely breaking the corals caused by walking or throwing boat’s anchors dropping fuel and other sorts of pollutions,none,tourism,has threatened,nature environments,none,Australia’s Great Barrier Reef ,shown generated immense destruction  breaking,billion visitors per annum,nature wonder  corals  walking or throwing boat’s anchors dropping fuel pollutions,yes
If authorities do not take steps to appropriately conserve these precious values they will be destroyed in the near future +++$+++ international tourism can create negative impacts on the destination countries,none,authorities,not take steps to appropriately conserve, precious values,will be destroyed,international tourism,can create negative,destination countries,none,yes
This was due to the lack of adequate controls by authorities and lead to a bad image of Thailand tourism +++$+++ tourism has created threatening pressure on both the sociocultural and natural environments,none,This,due to the lack of,controls authorities image  Thailand tourism, lead to a bad,tourism,has created threatening pressure,sociocultural  natural environments,none,yes
many marine lives have been endangered in the extremes part of the reef become uninhabitable for these marine species +++$+++ If authorities do not take steps to appropriately conserve these precious values they will be destroyed in the near future,none,marine lives,have been endangered become uninhabitable ,reef  marine species,none,authorities,not take steps to appropriately conserve, precious values,will be destroyed,yes
Take Thailand for example in the Vietnam War many American soldiers came to Thailand for a break and involved in sexual and drug activities these huge demands caused many local businesses opened and expanded even illegally involved in under-age prostitutes to maximise their profits +++$+++ this industry has affected the cultural attributes and damaged the natural environment of the tourist destinations,none,Thailand  Vietnam War many American soldiers break  ,involved,sexual drug activities local businesses  under-age prostitutes ,huge demands caused opened  expanded,this industry,has affected  damaged,cultural attributes  natural environment tourist destinations,none,yes
This was due to the lack of adequate controls by authorities and lead to a bad image of Thailand tourism +++$+++ As the Australia’s Great Barrier Reef has shown the billion visitors per annum has generated immense destruction to this nature wonder namely breaking the corals caused by walking or throwing boat’s anchors dropping fuel and other sorts of pollutions,none,This,due to the lack of,controls authorities image  Thailand tourism, lead to a bad,Australia’s Great Barrier Reef ,shown generated immense destruction  breaking,billion visitors per annum,nature wonder  corals  walking or throwing boat’s anchors dropping fuel pollutions,yes
This was due to the lack of adequate controls by authorities and lead to a bad image of Thailand tourism +++$+++ tourists from different cultures will probably cause changes to the cultural identity of the tourist destinations,none,This,due to the lack of,controls authorities image  Thailand tourism, lead to a bad,tourists from different cultures,will probably cause changes,cultural identity  tourist destinations,none,yes
If authorities do not take steps to appropriately conserve these precious values they will be destroyed in the near future +++$+++ tourism increasingly create harms to the natural habitats of the destination appeals,none,authorities,not take steps to appropriately conserve, precious values,will be destroyed,tourism,increasingly create harms,natural habitats destination appeals,none,yes
one who studies overseas will gain many skills throughout this experience +++$+++ Compared to the peers studying in the home country it will be more likely for the one who is living overseas to be successful in adapting himself/herself into new environments and situations in life,supports,one who studies overseas,will gain,skills throughout  experience,none,peers studying home country,successful,adapting new environments  situations  life,none,no
Compared to the peers studying in the home country it will be more likely for the one who is living overseas to be successful in adapting himself/herself into new environments and situations in life +++$+++ studying at an overseas university gives individuals the opportunity to improve social skills by interacting and communicating with students from different origins and cultures,supports,peers studying home country,successful,adapting new environments  situations  life,none,studying at an overseas university,gives  the opportunity to improve  interacting  communicating,social skills  students different origins  cultures,none,no
one who studies overseas will gain many skills throughout this experience +++$+++ living and studying overseas is an irreplaceable experience when it comes to learn standing on your own feet,supports,one who studies overseas,will gain,skills throughout  experience,none,living and studying overseas,is an irreplaceable,experience learn standing own feet,none,no
living and studying overseas is an irreplaceable experience when it comes to learn standing on your own feet +++$+++ One who is living overseas will of course struggle with loneliness living away from family and friends,attacks,living and studying overseas,is an irreplaceable,experience learn standing own feet,none,who is living overseas,struggle,loneliness living away from family  friends,none,no
living and studying overseas is an irreplaceable experience when it comes to learn standing on your own feet +++$+++ the one will learn living without depending on anyone else,supports,living and studying overseas,is an irreplaceable,experience learn standing own feet,none,the one,learn,living without depending on anyone else,none,no
living and studying overseas gives the individual a new perspective on the subject that is studied or in general life +++$+++ there are many difficulties a student might face when studying and living overseas,attacks,living  studying overseas,new perspective , subject  studied  life,none,student  face,difficulties,studying living overseas,none,no
one who has studied and lived overseas will become more eligible for the job than his/her peers +++$+++ employers are mostly looking for people who have international and language skills,supports,one who has studied and lived overseas,will become more eligible, job peers,none,employers,are mostly looking,people international language skills,none,no
one who studies overseas will gain many skills throughout this experience +++$+++ living and studying overseas gives the individual a new perspective on the subject that is studied or in general life,supports,one who studies overseas,will gain,skills throughout  experience,none,living  studying overseas,new perspective , subject  studied  life,none,no
one who has studied and lived overseas will become more eligible for the job than his/her peers +++$+++ Becoming successful in this study will give the student an edge in job market,supports,one who has studied and lived overseas,will become more eligible, job peers,none,successful study,will give the edge ,student edge  job market,none,no
one who studies overseas will gain many skills throughout this experience +++$+++ one who has studied and lived overseas will become more eligible for the job than his/her peers,supports,one who studies overseas,will gain,skills throughout  experience,none,one who has studied and lived overseas,will become more eligible, job peers,none,no
One who is living overseas will of course struggle with loneliness living away from family and friends +++$+++ those difficulties will turn into valuable experiences in the following steps of life,attacks,who is living overseas,struggle,loneliness living away from family  friends,none,those difficulties,will turn into valuable,experiences following steps  life,none,no
those difficulties will turn into valuable experiences in the following steps of life +++$+++ Becoming successful in this study will give the student an edge in job market,none,those difficulties,will turn into valuable,experiences following steps  life,none,successful study,will give the edge ,student edge  job market,none,yes
living and studying overseas gives the individual a new perspective on the subject that is studied or in general life +++$+++ Compared to the peers studying in the home country it will be more likely for the one who is living overseas to be successful in adapting himself/herself into new environments and situations in life,none,living  studying overseas,new perspective , subject  studied  life,none,peers studying home country,successful,adapting new environments  situations  life,none,yes
living and studying overseas gives the individual a new perspective on the subject that is studied or in general life +++$+++ studying at an overseas university gives individuals the opportunity to improve social skills by interacting and communicating with students from different origins and cultures,none,living  studying overseas,new perspective , subject  studied  life,none,studying at an overseas university,gives  the opportunity to improve  interacting  communicating,social skills  students different origins  cultures,none,yes
there are many difficulties a student might face when studying and living overseas +++$+++ those difficulties will turn into valuable experiences in the following steps of life,none,student  face,difficulties,studying living overseas,none,those difficulties,will turn into valuable,experiences following steps  life,none,yes
studying at an overseas university gives individuals the opportunity to improve social skills by interacting and communicating with students from different origins and cultures +++$+++ one who studies overseas will gain many skills throughout this experience,none,studying at an overseas university,gives  the opportunity to improve  interacting  communicating,social skills  students different origins  cultures,none,one who studies overseas,will gain,skills throughout  experience,none,yes
those difficulties will turn into valuable experiences in the following steps of life +++$+++ one who has studied and lived overseas will become more eligible for the job than his/her peers,none,those difficulties,will turn into valuable,experiences following steps  life,none,one who has studied and lived overseas,will become more eligible, job peers,none,yes
One who is living overseas will of course struggle with loneliness living away from family and friends +++$+++ Becoming successful in this study will give the student an edge in job market,none,who is living overseas,struggle,loneliness living away from family  friends,none,successful study,will give the edge ,student edge  job market,none,yes
studying at an overseas university gives individuals the opportunity to improve social skills by interacting and communicating with students from different origins and cultures +++$+++ Becoming successful in this study will give the student an edge in job market,none,studying at an overseas university,gives  the opportunity to improve  interacting  communicating,social skills  students different origins  cultures,none,successful study,will give the edge ,student edge  job market,none,yes
